2000 :  tensor(0.6631)
128000 :  tensor(0.0817)
130000 :  tensor(0.1042)
132000 :  tensor(0.0899)
134000 :  tensor(0.0748)
136000 :  tensor(0.1003)
138000 :  tensor(0.0856)
140000 :  tensor(0.1255)
142000 :  tensor(0.0724)
144000 :  tensor(0.0745)
146000 :  tensor(0.0837)
148000 :  tensor(0.0738)
150000 :  tensor(0.0631)
152000 :  tensor(0.0915)
154000 :  tensor(0.0581)
156000 :  tensor(0.0838)
158000 :  tensor(0.0843)
160000 :  tensor(0.0716)
162000 :  tensor(0.0647)
164000 :  tensor(0.0863)
166000 :  tensor(0.0498)
168000 :  tensor(0.0469)
Train: new_F: 0.9829915277748138 best_F: 0.9654259859996586 
Dev: new_F: 0.8688101788170564 best_F: 0.8686538957134267 
Saving Model to  ./models/self-trained-model-2layer
Test: new_F: 0.7887067395264117 best_F: 0.8071336642765214 
170000 :  tensor(0.0503)
172000 :  tensor(0.0481)
174000 :  tensor(0.0511)
176000 :  tensor(0.0586)
178000 :  tensor(0.0582)
180000 :  tensor(0.0630)
182000 :  tensor(0.0512)
184000 :  tensor(0.0551)
186000 :  tensor(0.0420)
188000 :  tensor(0.0527)
190000 :  tensor(0.0363)
192000 :  tensor(0.0584)
194000 :  tensor(0.0416)
196000 :  tensor(0.0728)
198000 :  tensor(0.0342)
200000 :  tensor(0.0307)
202000 :  tensor(0.0288)
204000 :  tensor(0.0402)
206000 :  tensor(0.0397)
208000 :  tensor(0.0499)
210000 :  tensor(0.0475)
212000 :  tensor(0.0454)
214000 :  tensor(0.0419)
216000 :  tensor(0.0184)
218000 :  tensor(0.0319)
220000 :  tensor(0.0487)
222000 :  tensor(0.0382)
224000 :  tensor(0.0388)
Train: new_F: 0.9917112356438175 best_F: 0.9829915277748138 
Dev: new_F: 0.8788135593220339 best_F: 0.8688101788170564 
Saving Model to  ./models/self-trained-model-2layer
Test: new_F: 0.8173835125448029 best_F: 0.8071336642765214 
226000 :  tensor(0.0164)
228000 :  tensor(0.0194)
230000 :  tensor(0.0286)
232000 :  tensor(0.0279)
234000 :  tensor(0.0398)
236000 :  tensor(0.0371)
238000 :  tensor(0.0376)
240000 :  tensor(0.0202)
242000 :  tensor(0.0294)
244000 :  tensor(0.0316)
246000 :  tensor(0.0303)
248000 :  tensor(0.0276)
250000 :  tensor(0.0323)
252000 :  tensor(0.0227)
254000 :  tensor(0.0208)
256000 :  tensor(0.0180)
258000 :  tensor(0.0185)
260000 :  tensor(0.0187)
262000 :  tensor(0.0262)
264000 :  tensor(0.0204)
266000 :  tensor(0.0328)
268000 :  tensor(0.0131)
270000 :  tensor(0.0217)
272000 :  tensor(0.0156)
274000 :  tensor(0.0093)
276000 :  tensor(0.0231)
278000 :  tensor(0.0320)
280000 :  tensor(0.0302)
282000 :  tensor(0.0207)
284000 :  tensor(0.0140)
286000 :  tensor(0.0136)
288000 :  tensor(0.0107)
290000 :  tensor(0.0218)
292000 :  tensor(0.0192)
294000 :  tensor(0.0223)
Train: new_F: 0.9951655840698541 best_F: 0.9917112356438175 
Dev: new_F: 0.8775201612903226 best_F: 0.8788135593220339 
Test: new_F: 0.8086010087602866 best_F: 0.8173835125448029 
296000 :  tensor(0.0154)
298000 :  tensor(0.0106)
300000 :  tensor(0.0130)
302000 :  tensor(0.0127)
304000 :  tensor(0.0137)
306000 :  tensor(0.0188)
308000 :  tensor(0.0184)
Train: new_F: 0.9932928776748643 best_F: 0.9951655840698541 
Dev: new_F: 0.8810408921933086 best_F: 0.8788135593220339 
Saving Model to  ./models/self-trained-model-2layer
Test: new_F: 0.8171831740644817 best_F: 0.8173835125448029 
310000 :  tensor(0.0164)
312000 :  tensor(0.0139)
314000 :  tensor(0.0128)
316000 :  tensor(0.0141)
318000 :  tensor(0.0172)
320000 :  tensor(0.0179)
322000 :  tensor(0.0131)
Train: new_F: 0.9947353837628151 best_F: 0.9951655840698541 
Dev: new_F: 0.8755292125317526 best_F: 0.8810408921933086 
Test: new_F: 0.8063135366506152 best_F: 0.8173835125448029 
324000 :  tensor(0.0060)
326000 :  tensor(0.0090)
328000 :  tensor(0.0152)
330000 :  tensor(0.0106)
332000 :  tensor(0.0090)
334000 :  tensor(0.0073)
336000 :  tensor(0.0243)
Train: new_F: 0.9954197822798831 best_F: 0.9951655840698541 
Dev: new_F: 0.878606881467149 best_F: 0.8810408921933086 
Test: new_F: 0.8119286411644626 best_F: 0.8173835125448029 
338000 :  tensor(0.0070)
340000 :  tensor(0.0113)
342000 :  tensor(0.0093)
344000 :  tensor(0.0109)
346000 :  tensor(0.0082)
348000 :  tensor(0.0146)
350000 :  tensor(0.0093)
Train: new_F: 0.9968652037617556 best_F: 0.9954197822798831 
Dev: new_F: 0.8858291285384419 best_F: 0.8810408921933086 
Saving Model to  ./models/self-trained-model-2layer
Test: new_F: 0.8256312095524564 best_F: 0.8173835125448029 
352000 :  tensor(0.0087)
354000 :  tensor(0.0087)
356000 :  tensor(0.0094)
358000 :  tensor(0.0151)
360000 :  tensor(0.0094)
362000 :  tensor(0.0031)
364000 :  tensor(0.0065)
Train: new_F: 0.9938712972420839 best_F: 0.9968652037617556 
Dev: new_F: 0.8822244623655914 best_F: 0.8858291285384419 
Test: new_F: 0.8135053915502918 best_F: 0.8256312095524564 
366000 :  tensor(0.0067)
368000 :  tensor(0.0075)
370000 :  tensor(0.0068)
372000 :  tensor(0.0097)
374000 :  tensor(0.0083)
376000 :  tensor(0.0186)
378000 :  tensor(0.0087)
Train: new_F: 0.9970801986317428 best_F: 0.9968652037617556 
Dev: new_F: 0.8848648193379938 best_F: 0.8858291285384419 
Test: new_F: 0.8166962699822381 best_F: 0.8256312095524564 
380000 :  tensor(0.0128)
382000 :  tensor(0.0037)
384000 :  tensor(0.0128)
386000 :  tensor(0.0053)
388000 :  tensor(0.0131)
390000 :  tensor(0.0140)
392000 :  tensor(0.0058)
Train: new_F: 0.9968450223832871 best_F: 0.9970801986317428 
Dev: new_F: 0.8868069159356102 best_F: 0.8858291285384419 
Saving Model to  ./models/self-trained-model-2layer
Test: new_F: 0.8149823577309329 best_F: 0.8256312095524564 
394000 :  tensor(0.0028)
396000 :  tensor(0.0084)
398000 :  tensor(0.0105)
400000 :  tensor(0.0105)
402000 :  tensor(0.0056)
404000 :  tensor(0.0050)
406000 :  tensor(0.0070)
Train: new_F: 0.9983366742013904 best_F: 0.9970801986317428 
Dev: new_F: 0.887589013224822 best_F: 0.8868069159356102 
Saving Model to  ./models/self-trained-model-2layer
Test: new_F: 0.8189104007203962 best_F: 0.8256312095524564 
408000 :  tensor(0.0053)
410000 :  tensor(0.0111)
412000 :  tensor(0.0080)
414000 :  tensor(0.0051)
416000 :  tensor(0.0055)
418000 :  tensor(0.0034)
420000 :  tensor(0.0053)
Train: new_F: 0.9983801526066755 best_F: 0.9983366742013904 
Dev: new_F: 0.8843799782007212 best_F: 0.887589013224822 
Test: new_F: 0.8128209668850717 best_F: 0.8256312095524564 
422000 :  tensor(0.0075)
424000 :  tensor(0.0021)
426000 :  tensor(0.0081)
428000 :  tensor(0.0042)
430000 :  tensor(0.0090)
432000 :  tensor(0.0065)
434000 :  tensor(0.0053)
Train: new_F: 0.9981667021956939 best_F: 0.9983801526066755 
Dev: new_F: 0.8821936357481381 best_F: 0.887589013224822 
Test: new_F: 0.8095876934084608 best_F: 0.8256312095524564 
436000 :  tensor(0.0064)
438000 :  tensor(0.0023)
440000 :  tensor(0.0041)
442000 :  tensor(0.0079)
444000 :  tensor(0.0026)
446000 :  tensor(0.0055)
448000 :  tensor(0.0136)
Train: new_F: 0.9984437954337121 best_F: 0.9983801526066755 
Dev: new_F: 0.8859686307757525 best_F: 0.887589013224822 
Test: new_F: 0.8153528831494934 best_F: 0.8256312095524564 
450000 :  tensor(0.0049)
452000 :  tensor(0.0062)
454000 :  tensor(0.0078)
456000 :  tensor(0.0055)
458000 :  tensor(0.0026)
460000 :  tensor(0.0058)
462000 :  tensor(0.0027)
Train: new_F: 0.99750687208336 best_F: 0.9984437954337121 
Dev: new_F: 0.8855487446469058 best_F: 0.887589013224822 
Test: new_F: 0.8159362549800797 best_F: 0.8256312095524564 
464000 :  tensor(0.0069)
466000 :  tensor(0.0019)
468000 :  tensor(0.0011)
470000 :  tensor(0.0076)
472000 :  tensor(0.0078)
474000 :  tensor(0.0098)
476000 :  tensor(0.0016)
Train: new_F: 0.9987419237904344 best_F: 0.9984437954337121 
Dev: new_F: 0.8823976361333896 best_F: 0.887589013224822 
Test: new_F: 0.812416137400483 best_F: 0.8256312095524564 
478000 :  tensor(0.0063)
480000 :  tensor(0.0031)
482000 :  tensor(0.0063)
484000 :  tensor(0.0016)
486000 :  tensor(0.0066)
488000 :  tensor(0.0083)
490000 :  tensor(0.0050)
Train: new_F: 0.9976337163444116 best_F: 0.9987419237904344 
Dev: new_F: 0.8845473684210526 best_F: 0.887589013224822 
Test: new_F: 0.8138935773296615 best_F: 0.8256312095524564 
492000 :  tensor(0.0068)
494000 :  tensor(0.0046)
496000 :  tensor(0.0029)
498000 :  tensor(0.0009)
500000 :  tensor(0.0020)
502000 :  tensor(0.0078)
504000 :  tensor(0.0027)
Train: new_F: 0.998784777742245 best_F: 0.9987419237904344 
Dev: new_F: 0.8881919131982707 best_F: 0.887589013224822 
Saving Model to  ./models/self-trained-model-2layer
Test: new_F: 0.8187544996400288 best_F: 0.8256312095524564 
506000 :  tensor(0.0049)
508000 :  tensor(0.0039)
510000 :  tensor(0.0054)
512000 :  tensor(0.0013)
514000 :  tensor(0.0058)
516000 :  tensor(0.0035)
518000 :  tensor(0.0082)
Train: new_F: 0.9983163906826077 best_F: 0.998784777742245 
Dev: new_F: 0.8790065447222688 best_F: 0.8881919131982707 
Test: new_F: 0.8095952023988007 best_F: 0.8256312095524564 
520000 :  tensor(0.0023)
522000 :  tensor(0.0033)
524000 :  tensor(0.0049)
526000 :  tensor(0.0019)
528000 :  tensor(0.0058)
530000 :  tensor(0.0021)
532000 :  tensor(0.0081)
Train: new_F: 0.9989978891708067 best_F: 0.998784777742245 
Dev: new_F: 0.8832920686416803 best_F: 0.8881919131982707 
Test: new_F: 0.8181652712049509 best_F: 0.8256312095524564 
534000 :  tensor(0.0081)
536000 :  tensor(0.0009)
538000 :  tensor(0.0038)
540000 :  tensor(0.0013)
542000 :  tensor(0.0074)
544000 :  tensor(0.0051)
546000 :  tensor(0.0039)
Train: new_F: 0.9989979319020106 best_F: 0.9989978891708067 
Dev: new_F: 0.8834835856438169 best_F: 0.8881919131982707 
Test: new_F: 0.8179438577488943 best_F: 0.8256312095524564 
548000 :  tensor(0.0051)
550000 :  tensor(0.0017)
552000 :  tensor(0.0063)
554000 :  tensor(0.0030)
556000 :  tensor(0.0058)
558000 :  tensor(0.0028)
560000 :  tensor(0.0030)
Train: new_F: 0.9985293177313128 best_F: 0.9989979319020106 
Dev: new_F: 0.8859775166934325 best_F: 0.8881919131982707 
Test: new_F: 0.8207978484984312 best_F: 0.8256312095524564 
562000 :  tensor(0.0052)
564000 :  tensor(0.0023)
566000 :  tensor(0.0027)
568000 :  tensor(0.0035)
570000 :  tensor(0.0009)
572000 :  tensor(0.0021)
574000 :  tensor(0.0075)
Train: new_F: 0.9993176972281449 best_F: 0.9989979319020106 
Dev: new_F: 0.8873633358759215 best_F: 0.8881919131982707 
Test: new_F: 0.8171926984983365 best_F: 0.8256312095524564 
576000 :  tensor(0.0103)
578000 :  tensor(0.0039)
580000 :  tensor(0.0044)
582000 :  tensor(0.0072)
584000 :  tensor(0.0027)
586000 :  tensor(0.0015)
588000 :  tensor(0.0019)
Train: new_F: 0.9991897654584221 best_F: 0.9993176972281449 
Dev: new_F: 0.8837407375862363 best_F: 0.8881919131982707 
Test: new_F: 0.8139408241060084 best_F: 0.8256312095524564 
590000 :  tensor(0.0007)
592000 :  tensor(0.0041)
594000 :  tensor(0.0086)
596000 :  tensor(0.0004)
598000 :  tensor(0.0021)
600000 :  tensor(0.0037)
602000 :  tensor(0.0029)
Train: new_F: 0.9991896963493687 best_F: 0.9993176972281449 
Dev: new_F: 0.8845628415300547 best_F: 0.8881919131982707 
Test: new_F: 0.8184133915574964 best_F: 0.8256312095524564 
604000 :  tensor(0.0032)
606000 :  tensor(0.0020)
608000 :  tensor(0.0023)
610000 :  tensor(0.0028)
612000 :  tensor(0.0023)
614000 :  tensor(0.0020)
616000 :  tensor(0.0071)
Train: new_F: 0.9993815971852009 best_F: 0.9993176972281449 
Dev: new_F: 0.8869179600886917 best_F: 0.8881919131982707 
Test: new_F: 0.8219676304782687 best_F: 0.8256312095524564 
618000 :  tensor(0.0045)
620000 :  tensor(0.0006)
622000 :  tensor(0.0042)
624000 :  tensor(0.0016)
626000 :  tensor(0.0022)
628000 :  tensor(0.0021)
630000 :  tensor(0.0093)
Train: new_F: 0.9989762839105953 best_F: 0.9993815971852009 
Dev: new_F: 0.886026275379628 best_F: 0.8881919131982707 
Test: new_F: 0.8164303889494728 best_F: 0.8256312095524564 
632000 :  tensor(0.0045)
634000 :  tensor(0.0026)
636000 :  tensor(0.0025)
638000 :  tensor(0.0050)
640000 :  tensor(0.0006)
642000 :  tensor(0.0070)
644000 :  tensor(0.0028)
Train: new_F: 0.999445581712726 best_F: 0.9993815971852009 
Dev: new_F: 0.8786795984345754 best_F: 0.8881919131982707 
Test: new_F: 0.8065567831914509 best_F: 0.8256312095524564 
646000 :  tensor(0.0008)
648000 :  tensor(0.0034)
650000 :  tensor(0.0008)
652000 :  tensor(0.0012)
654000 :  tensor(0.0059)
656000 :  tensor(0.0044)
658000 :  tensor(0.0033)
Train: new_F: 0.9993176099287756 best_F: 0.999445581712726 
Dev: new_F: 0.8885653104925054 best_F: 0.8881919131982707 
Saving Model to  ./models/self-trained-model-2layer
Test: new_F: 0.8175687989794058 best_F: 0.8256312095524564 
660000 :  tensor(0.0014)
662000 :  tensor(0.0026)
664000 :  tensor(0.0023)
666000 :  tensor(0.0039)
668000 :  tensor(0.0010)
670000 :  tensor(0.0039)
672000 :  tensor(0.0039)
Train: new_F: 0.9992323766471918 best_F: 0.999445581712726 
Dev: new_F: 0.8845762711864407 best_F: 0.8885653104925054 
Test: new_F: 0.8179694519317161 best_F: 0.8256312095524564 
674000 :  tensor(0.0009)
676000 :  tensor(0.0009)
678000 :  tensor(0.0007)
680000 :  tensor(0.0016)
682000 :  tensor(0.0021)
684000 :  tensor(0.0051)
686000 :  tensor(0.0013)
688000 :  tensor(0.0011)
Train: new_F: 0.9992963302556666 best_F: 0.999445581712726 
Dev: new_F: 0.8860435339308579 best_F: 0.8885653104925054 
Test: new_F: 0.8194659619064978 best_F: 0.8256312095524564 
87972.56578111649
