2000 :  tensor(1.7069)
338000 :  tensor(0.0176)
340000 :  tensor(0.0206)
342000 :  tensor(0.0110)
344000 :  tensor(0.0133)
346000 :  tensor(0.0079)
348000 :  tensor(0.0129)
350000 :  tensor(0.0051)
Train: new_F: 0.9949249402934153 best_F: 0.9956300228091491 
Dev: new_F: 0.8770456687516065 best_F: 0.8920640385608539 
Test: new_F: 0.8057737986479079 best_F: 0.8330433189852551 
352000 :  tensor(0.0082)
354000 :  tensor(0.0079)
356000 :  tensor(0.0131)
358000 :  tensor(0.0106)
360000 :  tensor(0.0156)
362000 :  tensor(0.0064)
364000 :  tensor(0.0122)
Train: new_F: 0.9927815514341076 best_F: 0.9956300228091491 
Dev: new_F: 0.8744375583665845 best_F: 0.8920640385608539 
Test: new_F: 0.8043030031376064 best_F: 0.8330433189852551 
366000 :  tensor(0.0147)
368000 :  tensor(0.0069)
370000 :  tensor(0.0091)
372000 :  tensor(0.0060)
374000 :  tensor(0.0100)
376000 :  tensor(0.0107)
378000 :  tensor(0.0095)
Train: new_F: 0.9968228244877071 best_F: 0.9956300228091491 
Dev: new_F: 0.8960234119469788 best_F: 0.8920640385608539 
Saving Model to  ./models/self-trained-model-3layer
Test: new_F: 0.8281535648994517 best_F: 0.8330433189852551 
380000 :  tensor(0.0069)
382000 :  tensor(0.0091)
384000 :  tensor(0.0132)
386000 :  tensor(0.0134)
388000 :  tensor(0.0043)
390000 :  tensor(0.0050)
392000 :  tensor(0.0127)
Train: new_F: 0.9960792669933943 best_F: 0.9968228244877071 
Dev: new_F: 0.8943405803231538 best_F: 0.8960234119469788 
Test: new_F: 0.8260558339298498 best_F: 0.8330433189852551 
394000 :  tensor(0.0095)
396000 :  tensor(0.0059)
398000 :  tensor(0.0102)
400000 :  tensor(0.0146)
402000 :  tensor(0.0040)
404000 :  tensor(0.0078)
406000 :  tensor(0.0081)
Train: new_F: 0.9968459636859603 best_F: 0.9968228244877071 
Dev: new_F: 0.8804913418067047 best_F: 0.8960234119469788 
Test: new_F: 0.8089217988080188 best_F: 0.8330433189852551 
408000 :  tensor(0.0062)
410000 :  tensor(0.0049)
412000 :  tensor(0.0090)
414000 :  tensor(0.0113)
416000 :  tensor(0.0096)
418000 :  tensor(0.0083)
420000 :  tensor(0.0058)
Train: new_F: 0.997931108030287 best_F: 0.9968459636859603 
Dev: new_F: 0.8868762518505617 best_F: 0.8960234119469788 
Test: new_F: 0.8161552094021081 best_F: 0.8330433189852551 
422000 :  tensor(0.0053)
424000 :  tensor(0.0036)
426000 :  tensor(0.0037)
428000 :  tensor(0.0100)
430000 :  tensor(0.0086)
432000 :  tensor(0.0080)
434000 :  tensor(0.0064)
Train: new_F: 0.9971650857934563 best_F: 0.997931108030287 
Dev: new_F: 0.8799999999999999 best_F: 0.8960234119469788 
Test: new_F: 0.8135219548043359 best_F: 0.8330433189852551 
436000 :  tensor(0.0049)
438000 :  tensor(0.0089)
440000 :  tensor(0.0080)
442000 :  tensor(0.0033)
444000 :  tensor(0.0061)
446000 :  tensor(0.0032)
448000 :  tensor(0.0097)
Train: new_F: 0.9973991643216509 best_F: 0.997931108030287 
Dev: new_F: 0.8947278035376954 best_F: 0.8960234119469788 
Test: new_F: 0.8211009174311927 best_F: 0.8330433189852551 
450000 :  tensor(0.0042)
452000 :  tensor(0.0019)
454000 :  tensor(0.0023)
456000 :  tensor(0.0039)
458000 :  tensor(0.0040)
460000 :  tensor(0.0141)
462000 :  tensor(0.0036)
Train: new_F: 0.9983371706318751 best_F: 0.997931108030287 
Dev: new_F: 0.8918849291541434 best_F: 0.8960234119469788 
Test: new_F: 0.8225835921797918 best_F: 0.8330433189852551 
464000 :  tensor(0.0077)
466000 :  tensor(0.0073)
468000 :  tensor(0.0055)
470000 :  tensor(0.0028)
472000 :  tensor(0.0050)
474000 :  tensor(0.0031)
476000 :  tensor(0.0054)
Train: new_F: 0.9984650805832694 best_F: 0.9983371706318751 
Dev: new_F: 0.8915559365623661 best_F: 0.8960234119469788 
Test: new_F: 0.8141172167870531 best_F: 0.8330433189852551 
478000 :  tensor(0.0012)
480000 :  tensor(0.0041)
482000 :  tensor(0.0051)
484000 :  tensor(0.0028)
486000 :  tensor(0.0015)
488000 :  tensor(0.0027)
490000 :  tensor(0.0058)
Train: new_F: 0.9977195711941348 best_F: 0.9984650805832694 
Dev: new_F: 0.8846909992307035 best_F: 0.8960234119469788 
Test: new_F: 0.8132108088435993 best_F: 0.8330433189852551 
492000 :  tensor(0.0062)
494000 :  tensor(0.0077)
496000 :  tensor(0.0049)
498000 :  tensor(0.0036)
500000 :  tensor(0.0069)
502000 :  tensor(0.0037)
504000 :  tensor(0.0049)
Train: new_F: 0.998742245624507 best_F: 0.9984650805832694 
Dev: new_F: 0.8973055414336553 best_F: 0.8960234119469788 
Saving Model to  ./models/self-trained-model-3layer
Test: new_F: 0.8252688172043011 best_F: 0.8330433189852551 
506000 :  tensor(0.0041)
508000 :  tensor(0.0041)
510000 :  tensor(0.0065)
512000 :  tensor(0.0015)
514000 :  tensor(0.0010)
516000 :  tensor(0.0077)
518000 :  tensor(0.0040)
Train: new_F: 0.999019357039311 best_F: 0.998742245624507 
Dev: new_F: 0.8931072302370707 best_F: 0.8973055414336553 
Test: new_F: 0.8205128205128205 best_F: 0.8330433189852551 
520000 :  tensor(0.0034)
522000 :  tensor(0.0018)
524000 :  tensor(0.0024)
526000 :  tensor(0.0012)
528000 :  tensor(0.0018)
530000 :  tensor(0.0064)
532000 :  tensor(0.0025)
Train: new_F: 0.9977608598298253 best_F: 0.999019357039311 
Dev: new_F: 0.8880743329639417 best_F: 0.8973055414336553 
Test: new_F: 0.8222504076825511 best_F: 0.8330433189852551 
534000 :  tensor(0.0102)
536000 :  tensor(0.0030)
538000 :  tensor(0.0038)
540000 :  tensor(0.0014)
542000 :  tensor(0.0060)
544000 :  tensor(0.0034)
546000 :  tensor(0.0033)
Train: new_F: 0.9976106156931347 best_F: 0.999019357039311 
Dev: new_F: 0.8920988513748694 best_F: 0.8973055414336553 
Test: new_F: 0.8193536334765552 best_F: 0.8330433189852551 
548000 :  tensor(0.0013)
550000 :  tensor(0.0028)
552000 :  tensor(0.0033)
554000 :  tensor(0.0057)
556000 :  tensor(0.0026)
558000 :  tensor(0.0039)
560000 :  tensor(0.0023)
Train: new_F: 0.999189730905369 best_F: 0.999019357039311 
Dev: new_F: 0.8965635151307916 best_F: 0.8973055414336553 
Test: new_F: 0.8250662281903718 best_F: 0.8330433189852551 
562000 :  tensor(0.0029)
564000 :  tensor(0.0037)
566000 :  tensor(0.0005)
568000 :  tensor(0.0029)
570000 :  tensor(0.0052)
572000 :  tensor(0.0013)
574000 :  tensor(0.0066)
Train: new_F: 0.9985713371857475 best_F: 0.999189730905369 
Dev: new_F: 0.888371692095509 best_F: 0.8973055414336553 
Test: new_F: 0.8154087180904985 best_F: 0.8330433189852551 
576000 :  tensor(0.0039)
578000 :  tensor(0.0003)
580000 :  tensor(0.0003)
582000 :  tensor(0.0011)
584000 :  tensor(0.0038)
586000 :  tensor(0.0027)
588000 :  tensor(0.0015)
Train: new_F: 0.9987423528659434 best_F: 0.999189730905369 
Dev: new_F: 0.8911460978500084 best_F: 0.8973055414336553 
Test: new_F: 0.8270581877139255 best_F: 0.8330433189852551 
590000 :  tensor(0.0090)
592000 :  tensor(0.0025)
594000 :  tensor(0.0015)
596000 :  tensor(0.0036)
598000 :  tensor(0.0027)
600000 :  tensor(0.0040)
602000 :  tensor(0.0023)
Train: new_F: 0.9992110369533231 best_F: 0.999189730905369 
Dev: new_F: 0.8854591173155294 best_F: 0.8973055414336553 
Test: new_F: 0.8168436743059436 best_F: 0.8330433189852551 
604000 :  tensor(0.0002)
606000 :  tensor(0.0011)
608000 :  tensor(0.0002)
610000 :  tensor(0.0017)
612000 :  tensor(0.0037)
614000 :  tensor(0.0014)
616000 :  tensor(0.0008)
Train: new_F: 0.9991898000085284 best_F: 0.9992110369533231 
Dev: new_F: 0.8930925276042113 best_F: 0.8973055414336553 
Test: new_F: 0.8305502326854639 best_F: 0.8330433189852551 
618000 :  tensor(0.0036)
620000 :  tensor(0.0002)
622000 :  tensor(0.0029)
624000 :  tensor(0.0021)
626000 :  tensor(0.0004)
628000 :  tensor(0.0032)
630000 :  tensor(0.0026)
Train: new_F: 0.9992963302556666 best_F: 0.9992110369533231 
Dev: new_F: 0.89548190217852 best_F: 0.8973055414336553 
Test: new_F: 0.8280208896092203 best_F: 0.8330433189852551 
632000 :  tensor(0.0013)
634000 :  tensor(0.0013)
636000 :  tensor(0.0035)
638000 :  tensor(0.0009)
640000 :  tensor(0.0019)
642000 :  tensor(0.0037)
644000 :  tensor(0.0031)
Train: new_F: 0.9994882292732856 best_F: 0.9992963302556666 
Dev: new_F: 0.8789546079779917 best_F: 0.8973055414336553 
Test: new_F: 0.815223386651958 best_F: 0.8330433189852551 
646000 :  tensor(0.0010)
648000 :  tensor(0.0016)
650000 :  tensor(0.0024)
652000 :  tensor(0.0054)
654000 :  tensor(0.0006)
656000 :  tensor(0.0031)
658000 :  tensor(0.0013)
Train: new_F: 0.9994243929477477 best_F: 0.9994882292732856 
Dev: new_F: 0.8867972961410114 best_F: 0.8973055414336553 
Test: new_F: 0.8213177587150939 best_F: 0.8330433189852551 
660000 :  tensor(0.0013)
662000 :  tensor(0.0001)
664000 :  tensor(0.0012)
666000 :  tensor(0.0003)
668000 :  tensor(0.0024)
670000 :  tensor(0.0057)
672000 :  tensor(0.0035)
Train: new_F: 0.9994457235439584 best_F: 0.9994882292732856 
Dev: new_F: 0.8961434370771312 best_F: 0.8973055414336553 
Test: new_F: 0.8289061801270011 best_F: 0.8330433189852551 
674000 :  tensor(0.0009)
676000 :  tensor(0.0017)
678000 :  tensor(0.0023)
680000 :  tensor(0.0037)
682000 :  tensor(0.0032)
684000 :  tensor(0.0012)
686000 :  tensor(0.0003)
688000 :  tensor(0.0039)
Train: new_F: 0.9993177554153164 best_F: 0.9994882292732856 
Dev: new_F: 0.8979661016949153 best_F: 0.8973055414336553 
Saving Model to  ./models/self-trained-model-3layer
Test: new_F: 0.835520402660435 best_F: 0.8330433189852551 
95318.07937455177
